identificationOfVehicle,crimeDate,casualties,crimeLng,crimeLtd,crimeLocation,crimeTime,crimeVictim,crimeVehicle,noOfCriminal,msr,typeOfCrime,Vsr
,28 : 7 : 2017,No,24.810707100000002,67.0689859,"Karachi, Pakistan",10:9 PM,your friend,bike,2,IPhone 6,Mobile snatching,
,27 : 7 : 2017,No,24.830757499999997,67.06465234375001,"4th Sunset St, Karachi 75500, Pakistan",6:0 PM,you,bike,2,IPhone 4s,Mobile snatching,
,29 : 7 : 2017,No,24.830972499999994,67.06918359375003,"C-31C 24th Commercial St, Karachi 75500, Pakistan",10:0 AM,your friend,bike,2,IPhone 5s,Mobile snatching,
,20 : 7 : 2017,Yes,,,,8:0 PM,stranger, ,more than 3,IPhone 5s,Robbery,
,1 : 8 : 2017,No,24.80208249999999,67.03008984375002,"Harbour Front, Sea View Rd, Karachi, Pakistan",6:30 PM,your relative,bike,3,IPhone 5s,Kidnapping,
,2 : 8 : 2017,No,24.834517499999997,67.06622265624999,"South Park Avenue, Karachi, Pakistan",8:0 PM,your friend,bike,3,Samsung c6,Mobile snatching,
,1 : 8 : 2017,No,24.835072500000003,67.07071484375005,"Service Road, Karachi, Pakistan",10:30 PM,stranger,bike,2,Samsung c6,Kidnapping,
,3 : 8 : 2017,Yes,24.83095749999999,67.06529296875,"4th Sunset St, Karachi 75500, Pakistan",6:0 PM,your friend,bike,more than 3,,Mobile snatching,
,3 : 8 : 2017,No,24.832847499999996,67.07209765625002,"21st Commercial St, Karachi 75500, Pakistan",6:15 PM,stranger,bike,3,,Robbery,
,4 : 1 : 1900,Yes,,,,4:10 PM,your relative, ,3,,Kidnapping,
,29 : 9 : 2017,Yes,,,,8:0 PM,, ,more than 3,,Blast,
,30 : 9 : 2017,No,24.833597500000003,67.05655859375001,"8th S St, Karachi, Pakistan",6:47 PM,you,bike,2,,Mobile snatching,
,30 : 9 : 2017,No,24.832902499999996,67.04848828125002,"Circular Ave, Karachi, Pakistan",2:48 PM,stranger,bike,2,IPhone 7,Mobile snatching,
,30 : 9 : 2017,No,24.831232500000006,67.06585546875,"17C Sunset Lane 5, Karachi 75500, Pakistan",6:0 PM,,bike,3,IPhone 7,Robbery,
,27 : 9 : 2017,No,24.853042499999994,67.00790234374999,"Shahrah-e-Liaquat, Karachi, Pakistan",6:0 PM,your friend,car,2,IPhone 7,Vehicle Snatching,Honda city 
,29 : 5 : 2017,No,24.8429252,67.06582089999999,"D.H.A. Phase 1, Karachi, Pakistan",2:0 AM,your relative,bike,2,Samsung Galaxy S4,Mobile snatching,
CD-70 bikes ,5 : 10 : 2017,No,24.815505699999996,67.0755327,"Intersection of Khayaban-e-Rahat and Khayaban-e-Ittehad، DHA، Karachi, Pakistan",8:50 AM,you,bike,2,Toshiba laptop satellite series ,Mobile snatching,
,5 : 10 : 2017,No,24.814626600000004,67.0799287,"DG-78, Off Khayaban-e-Tufail, Ph-VII (Ext.), DHA، Karachi 75500, Pakistan",8:50 PM,your friend,bike,2,"laptop
bag",Mobile snatching,
,5 : 10 : 2017,No,24.814626600000004,67.0799287,"DG-78, Off Khayaban-e-Tufail, Ph-VII (Ext.), DHA، Karachi 75500, Pakistan",8:50 PM,your friend,bike,2,"laptop
bag",Mobile snatching,
,16 : 10 : 2017,No,,,,6:7 PM,you, ,2,,Mobile snatching,
,21 : 10 : 2017,Yes,,,,6:11 PM,your friend, ,2,,Robbery,
,28 : 12 : 2017,No,24.831917499999996,67.07374609375002,"Khayban-e-Ittehad Rd, Karachi 75500, Pakistan",9:12 PM,your friend,bike,2,"Samsung s5
",Mobile snatching,
,22 : 10 : 2017,Yes,24.8317925,67.06819921875005,"4th Sunset St, Karachi 75500, Pakistan",9:13 PM,stranger,bike,3,"Samsung s5
",Robbery,
,8 : 10 : 2017,No,24.8338975,67.06933984375003,"Masjid Mehmood Ayaz, Karachi, Pakistan",8:13 PM,you,bike,more than 3,iPhone 5,Mobile snatching,
